data,abertura_empresas
2019-01-01,11090
2019-02-01,14001
2019-03-01,13410
2019-04-01,14591
2019-05-01,15640
2019-06-01,13282
2019-07-01,15953
2019-08-01,15969
2019-09-01,15222
2019-10-01,15587
2019-11-01,13581
2019-12-01,11818
2020-01-01,14980
2020-02-01,14271
2020-03-01,14041
2020-04-01,6976
2020-05-01,9969
2020-06-01,13137
2020-07-01,17304
2020-08-01,18064
2020-09-01,18002
2020-10-01,18407
2020-11-01,17710
2020-12-01,15271
2021-01-01,17111
2021-02-01,19231
2021-03-01,21047
2021-04-01,19740
2021-05-01,20422
2021-06-01,21156
2021-07-01,21858
2021-08-01,22006
2021-09-01,19960
2021-10-01,18872
2021-11-01,18455
2021-12-01,16372
2022-01-01,18171
2022-02-01,20602
2022-03-01,23090
2022-04-01,19309
2022-05-01,23381
2022-06-01,21610
2022-07-01,22037
2022-08-01,23501
2022-09-01,20050
2022-10-01,19060
2022-11-01,18162
2022-12-01,16268
2023-01-01,17979
2023-02-01,20317
2023-03-01,23661
2023-04-01,17764
2023-05-01,21359
2023-06-01,20860
2023-07-01,21398
2023-08-01,22462
2023-09-01,17944
2023-10-01,20000
2023-11-01,18164
2023-12-01,18394
2024-01-01,21733
2024-02-01,23772
2024-03-01,24693
2024-04-01,27013
2024-05-01,22824
2024-06-01,23495
2024-07-01,26832
2024-08-01,24068
2024-09-01,24263
2024-10-01,25265
2024-11-01,22829
2024-12-01,21494
2025-01-01,30992
2025-02-01,29356
2025-03-01,31680
2025-04-01,28032
2025-05-01,27820
2025-06-01,26033
2025-07-01,30922
2025-08-01,27946
2025-09-01,28849
2025-10-01,29680
2025-11-01,24240
2025-12-01,19646
