data,ano,mes,previsao_aberturas,meta_vendas_20_market_share,meta_vendas_20_market_share_arredondada,limite_inferior,limite_superior,meta_20_limite_inferior,meta_20_limite_superior,mes_nome
2026-01-01,2026,1,28220.424664765305,5644.084932953061,5645.0,25727.0,30713.0,5145.400000000001,6142.6,Jan
2026-02-01,2026,2,30102.757856545955,6020.551571309192,6021.0,27443.0,32762.0,5488.6,6552.400000000001,Fev
2026-03-01,2026,3,31423.394766525136,6284.678953305028,6285.0,28647.0,34199.0,5729.400000000001,6839.8,Mar
2026-04-01,2026,4,29516.591030860753,5903.318206172151,5904.0,26909.0,32124.0,5381.8,6424.8,Abr
2026-05-01,2026,5,29359.576278141252,5871.915255628251,5872.0,26766.0,31953.0,5353.200000000001,6390.6,Mai
2026-06-01,2026,6,28957.421653542806,5791.484330708561,5792.0,26399.0,31516.0,5279.8,6303.200000000001,Jun
2026-07-01,2026,7,31228.063305305805,6245.612661061161,6246.0,28469.0,33987.0,5693.8,6797.400000000001,Jul
2026-08-01,2026,8,30114.42300536963,6022.884601073926,6023.0,27454.0,32775.0,5490.8,6555.0,Ago
2026-09-01,2026,9,29668.52436728386,5933.7048734567725,5934.0,27048.0,32289.0,5409.6,6457.8,Set
2026-10-01,2026,10,29998.930631618383,5999.786126323677,6000.0,27349.0,32649.0,5469.8,6529.8,Out
2026-11-01,2026,11,26474.752805777553,5294.9505611555105,5295.0,24136.0,28814.0,4827.2,5762.8,Nov
2026-12-01,2026,12,23115.140439478,4623.0280878956,4624.0,21073.0,25157.0,4214.6,5031.400000000001,Dez
