data,mes,mercado_projetado,mercado_limite_inferior,mercado_limite_superior,meta_vendas_20_market_share,meta_20_limite_inferior,meta_20_limite_superior
2026-01-01,1,28220.424664765305,25727.0,30713.0,5645.0,5145.400000000001,6142.6
2026-02-01,2,30102.757856545955,27443.0,32762.0,6021.0,5488.6,6552.400000000001
2026-03-01,3,31423.394766525136,28647.0,34199.0,6285.0,5729.400000000001,6839.8
2026-04-01,4,29516.591030860753,26909.0,32124.0,5904.0,5381.8,6424.8
2026-05-01,5,29359.576278141252,26766.0,31953.0,5872.0,5353.200000000001,6390.6
2026-06-01,6,28957.421653542806,26399.0,31516.0,5792.0,5279.8,6303.200000000001
2026-07-01,7,31228.063305305805,28469.0,33987.0,6246.0,5693.8,6797.400000000001
2026-08-01,8,30114.42300536963,27454.0,32775.0,6023.0,5490.8,6555.0
2026-09-01,9,29668.52436728386,27048.0,32289.0,5934.0,5409.6,6457.8
2026-10-01,10,29998.930631618383,27349.0,32649.0,6000.0,5469.8,6529.8
2026-11-01,11,26474.752805777553,24136.0,28814.0,5295.0,4827.2,5762.8
2026-12-01,12,23115.140439478,21073.0,25157.0,4624.0,4214.6,5031.400000000001
